=== SSL RUN (20260729_125854) ===
Experiment       : ssl_pseudo_label
Mode             : Research
Model            : improved_cnn
Labeled per class: 250 → 1000 total
Unlabeled total  : 8461 (ds1=4600, ds2=3861)
Val samples      : 1600
Warmup epochs    : 15
SSL epochs       : 20
Threshold        : 0.85 → 0.95
Image size       : 224×224
Batch size       : 32
LR               : 0.0001

====================================================================================================
 Phase | Epoch |   T-Loss |   T-Acc |    T-F1 |   V-Loss |   V-Acc |    V-F1 |  #Pseudo | Thresh |    Time | Note
====================================================================================================
     A |     1 |   1.2615 |  0.4420 |  0.3844 |   1.2433 |  0.3781 |  0.3067 |          |        |   79.3s | <-- BEST
     A |     2 |   1.0057 |  0.6060 |  0.5880 |   0.9504 |  0.6481 |  0.5933 |          |        |   79.1s | <-- BEST
     A |     3 |   0.8078 |  0.6760 |  0.6698 |   0.8094 |  0.6925 |  0.6505 |          |        |  139.1s | <-- BEST
     A |     4 |   0.6455 |  0.7300 |  0.7130 |   0.9522 |  0.5988 |  0.5976 |          |        |  183.3s |
     A |     5 |   0.6489 |  0.7460 |  0.7349 |   0.7630 |  0.7169 |  0.6999 |          |        |  132.3s | <-- BEST
     A |     6 |   0.6478 |  0.7340 |  0.7345 |   0.9762 |  0.6106 |  0.5501 |          |        |  153.2s |
     A |     7 |   0.5542 |  0.7820 |  0.7804 |   0.8193 |  0.6894 |  0.6465 |          |        |  167.4s |
     A |     8 |   0.4871 |  0.7970 |  0.7919 |   0.8195 |  0.7013 |  0.6698 |          |        |  170.2s |
     A |     9 |   0.4696 |  0.8220 |  0.8162 |   0.9000 |  0.6544 |  0.6388 |          |        |  167.6s |
     A |    10 |   0.4146 |  0.8510 |  0.8480 |   0.7223 |  0.7388 |  0.7359 |          |        |  162.3s | <-- BEST
     A |    11 |   0.3842 |  0.8620 |  0.8600 |   0.7678 |  0.7406 |  0.7222 |          |        |  164.3s |
     A |    12 |   0.4272 |  0.8270 |  0.8309 |   0.5824 |  0.7913 |  0.7787 |          |        |  163.8s | <-- BEST
     A |    13 |   0.3818 |  0.8580 |  0.8533 |   0.6820 |  0.7863 |  0.7748 |          |        |  165.2s |
     A |    14 |   0.3131 |  0.8930 |  0.8914 |   0.6341 |  0.7844 |  0.7660 |          |        |  164.4s |
     A |    15 |   0.2702 |  0.9080 |  0.9091 |   0.6415 |  0.7850 |  0.7823 |          |        |  166.2s |
     B |    16 |   0.1577 |  0.9512 |  0.9228 |   0.7827 |  0.7825 |  0.7790 |     6437 |  0.850 | 1247.1s |
